dataset,weights,type,noise_level,acc
Coffee,MrSEQL-SM,2,0,1.0
Coffee,MrSEQL-SM,2,10,1.0
Coffee,MrSEQL-SM,2,20,1.0
Coffee,MrSEQL-SM,2,30,1.0
Coffee,MrSEQL-SM,2,40,1.0
Coffee,MrSEQL-SM,2,50,1.0
Coffee,MrSEQL-SM,2,60,1.0
Coffee,MrSEQL-SM,2,70,1.0
Coffee,MrSEQL-SM,2,80,1.0
Coffee,MrSEQL-SM,2,90,1.0
Coffee,MrSEQL-SM,2,100,1.0
Coffee,ResNetCAM,1,0,1.0
Coffee,ResNetCAM,1,10,1.0
Coffee,ResNetCAM,1,20,1.0
Coffee,ResNetCAM,1,30,1.0
Coffee,ResNetCAM,1,40,1.0
Coffee,ResNetCAM,1,50,1.0
Coffee,ResNetCAM,1,60,1.0
Coffee,ResNetCAM,1,70,1.0
Coffee,ResNetCAM,1,80,1.0
Coffee,ResNetCAM,1,90,1.0
Coffee,ResNetCAM,1,100,1.0
Coffee,ResNetCAM,2,0,1.0
Coffee,ResNetCAM,2,10,1.0
Coffee,ResNetCAM,2,20,1.0
Coffee,ResNetCAM,2,30,1.0
Coffee,ResNetCAM,2,40,1.0
Coffee,ResNetCAM,2,50,1.0
Coffee,ResNetCAM,2,60,1.0
Coffee,ResNetCAM,2,70,1.0
Coffee,ResNetCAM,2,80,1.0
Coffee,ResNetCAM,2,90,1.0
Coffee,ResNetCAM,2,100,1.0
ECG200,MrSEQL-SM,1,0,0.89
ECG200,MrSEQL-SM,1,10,0.91
ECG200,MrSEQL-SM,1,20,0.91
ECG200,MrSEQL-SM,1,30,0.91
ECG200,MrSEQL-SM,1,40,0.9
ECG200,MrSEQL-SM,1,50,0.9
ECG200,MrSEQL-SM,1,60,0.9
ECG200,MrSEQL-SM,1,70,0.89
ECG200,MrSEQL-SM,1,80,0.89
ECG200,MrSEQL-SM,1,90,0.9
ECG200,MrSEQL-SM,1,100,0.9
ECG200,MrSEQL-SM,2,0,0.89
ECG200,MrSEQL-SM,2,10,0.88
ECG200,MrSEQL-SM,2,20,0.9
ECG200,MrSEQL-SM,2,30,0.89
ECG200,MrSEQL-SM,2,40,0.9
ECG200,MrSEQL-SM,2,50,0.9
ECG200,MrSEQL-SM,2,60,0.91
ECG200,MrSEQL-SM,2,70,0.91
ECG200,MrSEQL-SM,2,80,0.9
ECG200,MrSEQL-SM,2,90,0.9
ECG200,MrSEQL-SM,2,100,0.9
ECG200,ResNetCAM,1,0,0.89
ECG200,ResNetCAM,1,10,0.91
ECG200,ResNetCAM,1,20,0.91
ECG200,ResNetCAM,1,30,0.9
ECG200,ResNetCAM,1,40,0.9
ECG200,ResNetCAM,1,50,0.9
ECG200,ResNetCAM,1,60,0.9
ECG200,ResNetCAM,1,70,0.9
ECG200,ResNetCAM,1,80,0.89
ECG200,ResNetCAM,1,90,0.9
ECG200,ResNetCAM,1,100,0.9
ECG200,ResNetCAM,2,0,0.89
ECG200,ResNetCAM,2,10,0.88
ECG200,ResNetCAM,2,20,0.89
ECG200,ResNetCAM,2,30,0.88
ECG200,ResNetCAM,2,40,0.9
ECG200,ResNetCAM,2,50,0.89
ECG200,ResNetCAM,2,60,0.89
ECG200,ResNetCAM,2,70,0.89
ECG200,ResNetCAM,2,80,0.9
ECG200,ResNetCAM,2,90,0.89
ECG200,ResNetCAM,2,100,0.9
GunPoint,MrSEQL-SM,1,0,1.0
GunPoint,MrSEQL-SM,1,10,0.9867
GunPoint,MrSEQL-SM,1,20,0.96
GunPoint,MrSEQL-SM,1,30,0.8867
GunPoint,MrSEQL-SM,1,40,0.7933
GunPoint,MrSEQL-SM,1,50,0.7333
GunPoint,MrSEQL-SM,1,60,0.7
GunPoint,MrSEQL-SM,1,70,0.66
GunPoint,MrSEQL-SM,1,80,0.6133
GunPoint,MrSEQL-SM,1,90,0.56
GunPoint,MrSEQL-SM,1,100,0.5267
GunPoint,MrSEQL-SM,2,0,1.0
GunPoint,MrSEQL-SM,2,10,1.0
GunPoint,MrSEQL-SM,2,20,1.0
GunPoint,MrSEQL-SM,2,30,1.0
GunPoint,MrSEQL-SM,2,40,1.0
GunPoint,MrSEQL-SM,2,50,0.9867
GunPoint,MrSEQL-SM,2,60,0.9667
GunPoint,MrSEQL-SM,2,70,0.9067
GunPoint,MrSEQL-SM,2,80,0.8067
GunPoint,MrSEQL-SM,2,90,0.6333
GunPoint,MrSEQL-SM,2,100,0.5267
GunPoint,ResNetCAM,1,0,1.0
GunPoint,ResNetCAM,1,10,0.9867
GunPoint,ResNetCAM,1,20,0.96
GunPoint,ResNetCAM,1,30,0.92
GunPoint,ResNetCAM,1,40,0.8667
GunPoint,ResNetCAM,1,50,0.8133
GunPoint,ResNetCAM,1,60,0.7667
GunPoint,ResNetCAM,1,70,0.7067
GunPoint,ResNetCAM,1,80,0.6333
GunPoint,ResNetCAM,1,90,0.5667
GunPoint,ResNetCAM,1,100,0.5267
GunPoint,ResNetCAM,2,0,1.0
GunPoint,ResNetCAM,2,10,1.0
GunPoint,ResNetCAM,2,20,0.9933
GunPoint,ResNetCAM,2,30,0.9933
GunPoint,ResNetCAM,2,40,0.9867
GunPoint,ResNetCAM,2,50,0.9733
GunPoint,ResNetCAM,2,60,0.94
GunPoint,ResNetCAM,2,70,0.88
GunPoint,ResNetCAM,2,80,0.7533
GunPoint,ResNetCAM,2,90,0.6133
GunPoint,ResNetCAM,2,100,0.5267
GunPoint,MrSEQL-LIME,1,0,1.0
GunPoint,MrSEQL-LIME,1,10,1.0
GunPoint,MrSEQL-LIME,1,20,0.9733
GunPoint,MrSEQL-LIME,1,30,0.9533
GunPoint,MrSEQL-LIME,1,40,0.9067
GunPoint,MrSEQL-LIME,1,50,0.82
GunPoint,MrSEQL-LIME,1,60,0.7467
GunPoint,MrSEQL-LIME,1,70,0.68
GunPoint,MrSEQL-LIME,1,80,0.62
GunPoint,MrSEQL-LIME,1,90,0.5667
GunPoint,MrSEQL-LIME,1,100,0.5267
GunPoint,MrSEQL-LIME,2,0,1.0
GunPoint,MrSEQL-LIME,2,10,0.9933
GunPoint,MrSEQL-LIME,2,20,0.9933
GunPoint,MrSEQL-LIME,2,30,0.9933
GunPoint,MrSEQL-LIME,2,40,0.9867
GunPoint,MrSEQL-LIME,2,50,0.9667
GunPoint,MrSEQL-LIME,2,60,0.94
GunPoint,MrSEQL-LIME,2,70,0.82
GunPoint,MrSEQL-LIME,2,80,0.6933
GunPoint,MrSEQL-LIME,2,90,0.62
GunPoint,MrSEQL-LIME,2,100,0.5267
