dataset,weights,type,noise_level,acc
Coffee,MrSEQL-SM,2,0,1.0
Coffee,MrSEQL-SM,2,10,1.0
Coffee,MrSEQL-SM,2,20,1.0
Coffee,MrSEQL-SM,2,30,1.0
Coffee,MrSEQL-SM,2,40,0.9643
Coffee,MrSEQL-SM,2,50,0.9643
Coffee,MrSEQL-SM,2,60,0.9643
Coffee,MrSEQL-SM,2,70,0.9643
Coffee,MrSEQL-SM,2,80,0.9643
Coffee,MrSEQL-SM,2,90,0.9643
Coffee,MrSEQL-SM,2,100,1.0
Coffee,ResNetCAM,1,0,1.0
Coffee,ResNetCAM,1,10,1.0
Coffee,ResNetCAM,1,20,1.0
Coffee,ResNetCAM,1,30,0.9643
Coffee,ResNetCAM,1,40,0.9643
Coffee,ResNetCAM,1,50,0.9286
Coffee,ResNetCAM,1,60,1.0
Coffee,ResNetCAM,1,70,1.0
Coffee,ResNetCAM,1,80,1.0
Coffee,ResNetCAM,1,90,0.9643
Coffee,ResNetCAM,1,100,1.0
Coffee,ResNetCAM,2,0,1.0
Coffee,ResNetCAM,2,10,1.0
Coffee,ResNetCAM,2,20,1.0
Coffee,ResNetCAM,2,30,1.0
Coffee,ResNetCAM,2,40,1.0
Coffee,ResNetCAM,2,50,1.0
Coffee,ResNetCAM,2,60,1.0
Coffee,ResNetCAM,2,70,1.0
Coffee,ResNetCAM,2,80,1.0
Coffee,ResNetCAM,2,90,0.9643
Coffee,ResNetCAM,2,100,1.0
ECG200,MrSEQL-SM,1,0,0.81
ECG200,MrSEQL-SM,1,10,0.79
ECG200,MrSEQL-SM,1,20,0.81
ECG200,MrSEQL-SM,1,30,0.76
ECG200,MrSEQL-SM,1,40,0.77
ECG200,MrSEQL-SM,1,50,0.74
ECG200,MrSEQL-SM,1,60,0.73
ECG200,MrSEQL-SM,1,70,0.77
ECG200,MrSEQL-SM,1,80,0.69
ECG200,MrSEQL-SM,1,90,0.74
ECG200,MrSEQL-SM,1,100,0.72
ECG200,MrSEQL-SM,2,0,0.81
ECG200,MrSEQL-SM,2,10,0.8
ECG200,MrSEQL-SM,2,20,0.82
ECG200,MrSEQL-SM,2,30,0.81
ECG200,MrSEQL-SM,2,40,0.77
ECG200,MrSEQL-SM,2,50,0.8
ECG200,MrSEQL-SM,2,60,0.78
ECG200,MrSEQL-SM,2,70,0.77
ECG200,MrSEQL-SM,2,80,0.75
ECG200,MrSEQL-SM,2,90,0.74
ECG200,MrSEQL-SM,2,100,0.72
ECG200,ResNetCAM,1,0,0.81
ECG200,ResNetCAM,1,10,0.79
ECG200,ResNetCAM,1,20,0.75
ECG200,ResNetCAM,1,30,0.75
ECG200,ResNetCAM,1,40,0.75
ECG200,ResNetCAM,1,50,0.73
ECG200,ResNetCAM,1,60,0.74
ECG200,ResNetCAM,1,70,0.72
ECG200,ResNetCAM,1,80,0.69
ECG200,ResNetCAM,1,90,0.7
ECG200,ResNetCAM,1,100,0.72
ECG200,ResNetCAM,2,0,0.81
ECG200,ResNetCAM,2,10,0.8
ECG200,ResNetCAM,2,20,0.78
ECG200,ResNetCAM,2,30,0.81
ECG200,ResNetCAM,2,40,0.78
ECG200,ResNetCAM,2,50,0.77
ECG200,ResNetCAM,2,60,0.78
ECG200,ResNetCAM,2,70,0.78
ECG200,ResNetCAM,2,80,0.76
ECG200,ResNetCAM,2,90,0.74
ECG200,ResNetCAM,2,100,0.72
GunPoint,MrSEQL-SM,1,0,0.9533
GunPoint,MrSEQL-SM,1,10,0.6733
GunPoint,MrSEQL-SM,1,20,0.5667
GunPoint,MrSEQL-SM,1,30,0.5067
GunPoint,MrSEQL-SM,1,40,0.4933
GunPoint,MrSEQL-SM,1,50,0.4933
GunPoint,MrSEQL-SM,1,60,0.4933
GunPoint,MrSEQL-SM,1,70,0.4933
GunPoint,MrSEQL-SM,1,80,0.4933
GunPoint,MrSEQL-SM,1,90,0.4933
GunPoint,MrSEQL-SM,1,100,0.4933
GunPoint,MrSEQL-SM,2,0,0.9533
GunPoint,MrSEQL-SM,2,10,0.7867
GunPoint,MrSEQL-SM,2,20,0.6667
GunPoint,MrSEQL-SM,2,30,0.5533
GunPoint,MrSEQL-SM,2,40,0.5067
GunPoint,MrSEQL-SM,2,50,0.4933
GunPoint,MrSEQL-SM,2,60,0.4933
GunPoint,MrSEQL-SM,2,70,0.4933
GunPoint,MrSEQL-SM,2,80,0.4933
GunPoint,MrSEQL-SM,2,90,0.4933
GunPoint,MrSEQL-SM,2,100,0.4933
GunPoint,ResNetCAM,1,0,0.9533
GunPoint,ResNetCAM,1,10,0.58
GunPoint,ResNetCAM,1,20,0.5
GunPoint,ResNetCAM,1,30,0.4933
GunPoint,ResNetCAM,1,40,0.4933
GunPoint,ResNetCAM,1,50,0.4933
GunPoint,ResNetCAM,1,60,0.4933
GunPoint,ResNetCAM,1,70,0.4933
GunPoint,ResNetCAM,1,80,0.4933
GunPoint,ResNetCAM,1,90,0.4933
GunPoint,ResNetCAM,1,100,0.4933
GunPoint,ResNetCAM,2,0,0.9533
GunPoint,ResNetCAM,2,10,0.5667
GunPoint,ResNetCAM,2,20,0.4933
GunPoint,ResNetCAM,2,30,0.4933
GunPoint,ResNetCAM,2,40,0.4933
GunPoint,ResNetCAM,2,50,0.4933
GunPoint,ResNetCAM,2,60,0.4933
GunPoint,ResNetCAM,2,70,0.4933
GunPoint,ResNetCAM,2,80,0.4933
GunPoint,ResNetCAM,2,90,0.4933
GunPoint,ResNetCAM,2,100,0.4933
GunPoint,MrSEQL-LIME,1,0,0.9533
GunPoint,MrSEQL-LIME,1,10,0.7867
GunPoint,MrSEQL-LIME,1,20,0.66
GunPoint,MrSEQL-LIME,1,30,0.5667
GunPoint,MrSEQL-LIME,1,40,0.5267
GunPoint,MrSEQL-LIME,1,50,0.4933
GunPoint,MrSEQL-LIME,1,60,0.4933
GunPoint,MrSEQL-LIME,1,70,0.4933
GunPoint,MrSEQL-LIME,1,80,0.4933
GunPoint,MrSEQL-LIME,1,90,0.4933
GunPoint,MrSEQL-LIME,1,100,0.4933
GunPoint,MrSEQL-LIME,2,0,0.9533
GunPoint,MrSEQL-LIME,2,10,0.84
GunPoint,MrSEQL-LIME,2,20,0.6667
GunPoint,MrSEQL-LIME,2,30,0.5467
GunPoint,MrSEQL-LIME,2,40,0.4933
GunPoint,MrSEQL-LIME,2,50,0.4933
GunPoint,MrSEQL-LIME,2,60,0.4933
GunPoint,MrSEQL-LIME,2,70,0.4933
GunPoint,MrSEQL-LIME,2,80,0.4933
GunPoint,MrSEQL-LIME,2,90,0.4933
GunPoint,MrSEQL-LIME,2,100,0.4933
